Location,Period,Indicator,Tooltip,IndicatorCode,FactValueForMeasure,FactValueString,FactValueUoM,FactComments,LanguageName,'Facts'[LANGUAGE_CODE],LanguageOrder,SpaceTime,TimeDimValueCode,DataSourceDimValueCode,SpatialDimValueCode,Dim1ValueCode,Dim2ValueCode,Dim3ValueCode,SlicingDimCode,SlicingDimValueCode,IsLatestYear,LatestYearLabel,FactValueNumericPrefix
United States of America,2001,Hospital beds (per 10 000 population),34.7,WHS6_102,34.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2001,,USA,,,,,,FALSE,2001,
United States of America,2002,Hospital beds (per 10 000 population),33.9,WHS6_102,33.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2002,,USA,,,,,,FALSE,2002,
United States of America,2003,Hospital beds (per 10 000 population),33.3,WHS6_102,33.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2003,,USA,,,,,,FALSE,2003,
United States of America,2004,Hospital beds (per 10 000 population),32.6,WHS6_102,32.6,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2004,,USA,,,,,,FALSE,2004,
United States of America,2005,Hospital beds (per 10 000 population),32,WHS6_102,32,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2005,,USA,,,,,,FALSE,2005,
United States of America,2006,Hospital beds (per 10 000 population),31.8,WHS6_102,31.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2006,,USA,,,,,,FALSE,2006,
United States of America,2007,Hospital beds (per 10 000 population),31.4,WHS6_102,31.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2007,,USA,,,,,,FALSE,2007,
United States of America,2008,Hospital beds (per 10 000 population),31.3,WHS6_102,31.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2008,,USA,,,,,,FALSE,2008,
United States of America,2009,Hospital beds (per 10 000 population),30.8,WHS6_102,30.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2009,,USA,,,,,,FALSE,2009,
United States of America,2010,Hospital beds (per 10 000 population),30.5,WHS6_102,30.5,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2010,,USA,,,,,,FALSE,2010,
United States of America,2011,Hospital beds (per 10 000 population),29.7,WHS6_102,29.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2011,,USA,,,,,,FALSE,2011,
United States of America,2012,Hospital beds (per 10 000 population),29.3,WHS6_102,29.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2012,,USA,,,,,,FALSE,2012,
United States of America,2013,Hospital beds (per 10 000 population),28.9,WHS6_102,28.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2013,,USA,,,,,,FALSE,2013,
United States of America,2014,Hospital beds (per 10 000 population),28.3,WHS6_102,28.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2014,,USA,,,,,,FALSE,2014,
United States of America,2015,Hospital beds (per 10 000 population),28,WHS6_102,28,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2015,,USA,,,,,,FALSE,2015,
United States of America,2016,Hospital beds (per 10 000 population),27.7,WHS6_102,27.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2016,,USA,,,,,,FALSE,2016,
United States of America,2017,Hospital beds (per 10 000 population),28.7,WHS6_102,28.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2017,,USA,,,,,,TRUE,Latest,
United Republic of Tanzania,2006,Hospital beds (per 10 000 population),11,WHS6_102,11,,,WHO AFRO regional observatory,English,en,1,TZA,2006,,TZA,,,,,,FALSE,2006,
United Republic of Tanzania,2010,Hospital beds (per 10 000 population),7,WHS6_102,7,,,WHO AFRO regional observatory,English,en,1,TZA,2010,,TZA,,,,,,TRUE,Latest,
United Kingdom of Great Britain and Northern Ireland,2000,Hospital beds (per 10 000 population),40.8,WHS6_102,40.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2000,,GBR,,,,,,FALSE,2000,
United Kingdom of Great Britain and Northern Ireland,2001,Hospital beds (per 10 000 population),40.4,WHS6_102,40.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2001,,GBR,,,,,,FALSE,2001,
United Kingdom of Great Britain and Northern Ireland,2002,Hospital beds (per 10 000 population),39.8,WHS6_102,39.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2002,,GBR,,,,,,FALSE,2002,
United Kingdom of Great Britain and Northern Ireland,2003,Hospital beds (per 10 000 population),39.5,WHS6_102,39.5,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2003,,GBR,,,,,,FALSE,2003,
United Kingdom of Great Britain and Northern Ireland,2004,Hospital beds (per 10 000 population),38.6,WHS6_102,38.6,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2004,,GBR,,,,,,FALSE,2004,
United Kingdom of Great Britain and Northern Ireland,2005,Hospital beds (per 10 000 population),37.2,WHS6_102,37.2,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2005,,GBR,,,,,,FALSE,2005,
United Kingdom of Great Britain and Northern Ireland,2006,Hospital beds (per 10 000 population),35.4,WHS6_102,35.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2006,,GBR,,,,,,FALSE,2006,
United Kingdom of Great Britain and Northern Ireland,2007,Hospital beds (per 10 000 population),33.9,WHS6_102,33.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2007,,GBR,,,,,,FALSE,2007,
United Kingdom of Great Britain and Northern Ireland,2008,Hospital beds (per 10 000 population),33.3,WHS6_102,33.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2008,,GBR,,,,,,FALSE,2008,
United Kingdom of Great Britain and Northern Ireland,2009,Hospital beds (per 10 000 population),32.6,WHS6_102,32.6,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2009,,GBR,,,,,,FALSE,2009,
United Kingdom of Great Britain and Northern Ireland,2010,Hospital beds (per 10 000 population),29.3,WHS6_102,29.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2010,,GBR,,,,,,FALSE,2010,
United Kingdom of Great Britain and Northern Ireland,2011,Hospital beds (per 10 000 population),28.8,WHS6_102,28.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2011,,GBR,,,,,,FALSE,2011,
United Kingdom of Great Britain and Northern Ireland,2012,Hospital beds (per 10 000 population),28.1,WHS6_102,28.1,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2012,,GBR,,,,,,FALSE,2012,
United Kingdom of Great Britain and Northern Ireland,2013,Hospital beds (per 10 000 population),27.6,WHS6_102,27.6,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2013,,GBR,,,,,,FALSE,2013,
United Kingdom of Great Britain and Northern Ireland,2014,Hospital beds (per 10 000 population),27.3,WHS6_102,27.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2014,,GBR,,,,,,FALSE,2014,
United Kingdom of Great Britain and Northern Ireland,2015,Hospital beds (per 10 000 population),26.1,WHS6_102,26.1,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2015,,GBR,,,,,,FALSE,2015,
United Kingdom of Great Britain and Northern Ireland,2016,Hospital beds (per 10 000 population),25.7,WHS6_102,25.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2016,,GBR,,,,,,FALSE,2016,
United Kingdom of Great Britain and Northern Ireland,2017,Hospital beds (per 10 000 population),25.4,WHS6_102,25.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2017,,GBR,,,,,,FALSE,2017,
United Kingdom of Great Britain and Northern Ireland,2018,Hospital beds (per 10 000 population),25,WHS6_102,25,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2018,,GBR,,,,,,FALSE,2018,
United Kingdom of Great Britain and Northern Ireland,2019,Hospital beds (per 10 000 population),24.6,WHS6_102,24.6,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,GBR,2019,,GBR,,,,,,TRUE,Latest,
United Arab Emirates,2000,Hospital beds (per 10 000 population),23.8,WHS6_102,23.8,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2000,,ARE,,,,,,FALSE,2000,
United Arab Emirates,2001,Hospital beds (per 10 000 population),22.8,WHS6_102,22.8,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2001,,ARE,,,,,,FALSE,2001,
United Arab Emirates,2002,Hospital beds (per 10 000 population),21.9,WHS6_102,21.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2002,,ARE,,,,,,FALSE,2002,
United Arab Emirates,2003,Hospital beds (per 10 000 population),21.9,WHS6_102,21.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2003,,ARE,,,,,,FALSE,2003,
United Arab Emirates,2004,Hospital beds (per 10 000 population),21.9,WHS6_102,21.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2004,,ARE,,,,,,FALSE,2004,
United Arab Emirates,2005,Hospital beds (per 10 000 population),21.9,WHS6_102,21.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2005,,ARE,,,,,,FALSE,2005,
United Arab Emirates,2006,Hospital beds (per 10 000 population),18.8,WHS6_102,18.8,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2006,,ARE,,,,,,FALSE,2006,
United Arab Emirates,2007,Hospital beds (per 10 000 population),18.8,WHS6_102,18.8,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2007,,ARE,,,,,,FALSE,2007,
United Arab Emirates,2008,Hospital beds (per 10 000 population),18.6,WHS6_102,18.6,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2008,,ARE,,,,,,FALSE,2008,
United Arab Emirates,2009,Hospital beds (per 10 000 population),19.3,WHS6_102,19.3,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2009,,ARE,,,,,,FALSE,2009,
United Arab Emirates,2010,Hospital beds (per 10 000 population),19.3,WHS6_102,19.3,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2010,,ARE,,,,,,FALSE,2010,
United Arab Emirates,2011,Hospital beds (per 10 000 population),10.7,WHS6_102,10.7,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2011,,ARE,,,,,,FALSE,2011,
United Arab Emirates,2012,Hospital beds (per 10 000 population),10.7,WHS6_102,10.7,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2012,,ARE,,,,,,FALSE,2012,
United Arab Emirates,2013,Hospital beds (per 10 000 population),11.5,WHS6_102,11.5,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2013,,ARE,,,,,,FALSE,2013,
United Arab Emirates,2014,Hospital beds (per 10 000 population),0.12,WHS6_102,0.12,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2014,,ARE,,,,,,FALSE,2014,
United Arab Emirates,2015,Hospital beds (per 10 000 population),11,WHS6_102,11,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2015,,ARE,,,,,,FALSE,2015,
United Arab Emirates,2016,Hospital beds (per 10 000 population),13.6,WHS6_102,13.6,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2016,,ARE,,,,,,FALSE,2016,
United Arab Emirates,2017,Hospital beds (per 10 000 population),13.8,WHS6_102,13.8,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,ARE,2017,,ARE,,,,,,TRUE,Latest,
Ukraine,2000,Hospital beds (per 10 000 population),88.16,WHS6_102,88.16,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2000,,UKR,,,,,,FALSE,2000,
Ukraine,2001,Hospital beds (per 10 000 population),87.91,WHS6_102,87.91,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2001,,UKR,,,,,,FALSE,2001,
Ukraine,2002,Hospital beds (per 10 000 population),88.93,WHS6_102,88.93,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2002,,UKR,,,,,,FALSE,2002,
Ukraine,2003,Hospital beds (per 10 000 population),88.11,WHS6_102,88.11,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2003,,UKR,,,,,,FALSE,2003,
Ukraine,2004,Hospital beds (per 10 000 population),87.29,WHS6_102,87.29,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2004,,UKR,,,,,,FALSE,2004,
Ukraine,2005,Hospital beds (per 10 000 population),86.83,WHS6_102,86.83,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2005,,UKR,,,,,,FALSE,2005,
Ukraine,2006,Hospital beds (per 10 000 population),87.3,WHS6_102,87.3,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2006,,UKR,,,,,,FALSE,2006,
Ukraine,2007,Hospital beds (per 10 000 population),87.25,WHS6_102,87.25,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2007,,UKR,,,,,,FALSE,2007,
Ukraine,2008,Hospital beds (per 10 000 population),87.45,WHS6_102,87.45,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2008,,UKR,,,,,,FALSE,2008,
Ukraine,2009,Hospital beds (per 10 000 population),94.04,WHS6_102,94.04,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2009,,UKR,,,,,,FALSE,2009,
Ukraine,2010,Hospital beds (per 10 000 population),93.82,WHS6_102,93.82,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2010,,UKR,,,,,,FALSE,2010,
Ukraine,2011,Hospital beds (per 10 000 population),90.49,WHS6_102,90.49,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2011,,UKR,,,,,,FALSE,2011,
Ukraine,2012,Hospital beds (per 10 000 population),89.07,WHS6_102,89.07,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2012,,UKR,,,,,,FALSE,2012,
Ukraine,2013,Hospital beds (per 10 000 population),87.98,WHS6_102,87.98,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2013,,UKR,,,,,,FALSE,2013,
Ukraine,2014,Hospital beds (per 10 000 population),74.63,WHS6_102,74.63,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UKR,2014,,UKR,,,,,,TRUE,Latest,
Uganda,2009,Hospital beds (per 10 000 population),4,WHS6_102,4,,,WHO AFRO regional observatory,English,en,1,UGA,2009,,UGA,,,,,,FALSE,2009,
Uganda,2010,Hospital beds (per 10 000 population),5,WHS6_102,5,,,WHO AFRO regional observatory,English,en,1,UGA,2010,,UGA,,,,,,TRUE,Latest,
Turkmenistan,2000,Hospital beds (per 10 000 population),53.58,WHS6_102,53.58,,,"European Health for All database (WHO), 26 May 2020",English,en,1,TKM,2000,,TKM,,,,,,FALSE,2000,
Turkmenistan,2001,Hospital beds (per 10 000 population),51.33,WHS6_102,51.33,,,"European Health for All database (WHO), 26 May 2020",English,en,1,TKM,2001,,TKM,,,,,,FALSE,2001,
Turkmenistan,2002,Hospital beds (per 10 000 population),50.22,WHS6_102,50.22,,,"European Health for All database (WHO), 26 May 2020",English,en,1,TKM,2002,,TKM,,,,,,FALSE,2002,
Turkmenistan,2003,Hospital beds (per 10 000 population),50.78,WHS6_102,50.78,,,"European Health for All database (WHO), 26 May 2020",English,en,1,TKM,2003,,TKM,,,,,,FALSE,2003,
Turkmenistan,2004,Hospital beds (per 10 000 population),49.02,WHS6_102,49.02,,,"European Health for All database (WHO), 26 May 2020",English,en,1,TKM,2004,,TKM,,,,,,FALSE,2004,
Turkmenistan,2005,Hospital beds (per 10 000 population),44.01,WHS6_102,44.01,,,"European Health for All database (WHO), 26 May 2020",English,en,1,TKM,2005,,TKM,,,,,,FALSE,2005,
